1

512
207	27
189	117
508	436
419	363
364	398
359	471
279	23
104	369
343	322
373	82
77	262
275	312
169	329
443	67
271	96
90	53
443	199
389	217
424	430
435	176
457	231
372	288
124	413
416	331
71	198
164	224
335	467
471	289
176	20
343	69
511	185
232	366
24	113
489	2
30	111
255	415
93	185
133	68
29	288
170	418
101	472
497	56
218	265
268	303
22	257
276	120
386	67
334	247
190	418
332	86
283	480
197	236
72	72
118	202
73	230
320	153
18	295
8	337
115	381
28	274
340	117
215	227
142	467
389	155
387	181
481	316
129	123
235	146
345	43
29	169
439	138
182	428
39	388
116	452
40	414
328	405
417	270
376	176
405	339
134	452
297	117
183	5
431	312
326	486
93	190
509	49
500	435
129	110
56	67
396	352
190	113
388	68
422	346
399	188
388	412
387	461
200	13
144	461
346	449
247	326
90	487
337	318
175	301
481	301
265	176
129	322
226	377
242	23
143	142
236	367
329	293
265	9
18	227
262	191
132	472
169	225
210	436
248	96
291	177
244	99
209	438
115	39
418	405
56	36
231	219
455	89
32	229
254	481
295	44
323	6
348	410
265	408
70	461
228	413
339	378
489	76
323	342
37	303
70	283
498	386
431	125
497	321
50	142
55	340
243	87
361	495
319	432
448	255
145	115
471	398
106	327
240	121
281	473
299	347
137	89
230	402
233	106
215	394
146	74
369	416
223	438
278	224
451	160
368	485
198	22
316	94
35	241
428	96
150	34
0	82
203	436
81	263
95	28
371	48
254	426
6	77
225	290
426	475
180	182
308	62
413	18
185	352
75	192
366	441
89	7
128	243
382	373
302	286
51	215
97	237
389	313
101	366
340	453
341	229
137	292
268	366
362	87
12	238
21	466
505	162
466	472
359	117
256	20
32	498
246	135
146	231
399	168
143	33
65	315
30	461
139	337
290	248
102	86
385	480
288	319
210	409
126	148
28	56
451	132
180	393
101	9
122	97
46	31
284	328
34	436
194	472
5	342
444	161
386	260
154	390
35	382
369	191
245	9
282	498
60	511
377	9
142	37
371	16
313	12
370	268
359	173
233	106
511	326
448	240
237	93
70	387
397	506
107	143
196	361
10	216
262	501
36	73
281	83
225	119
398	19
95	362
185	446
266	389
316	78
268	153
131	218
294	11
53	372
379	181
487	480
39	421
491	152
63	119
356	209
215	214
253	287
250	292
312	78
162	228
299	208
126	402
369	177
414	78
268	413
45	66
201	204
163	101
205	185
474	301
391	129
137	462
191	243
243	465
323	148
403	418
366	213
503	499
417	217
266	290
370	280
391	270
73	403
110	175
337	145
138	94
191	300
173	439
350	380
494	98
454	463
378	322
367	400
43	408
147	59
295	50
267	195
432	113
386	75
504	154
56	393
401	461
441	304
132	207
471	21
183	83
443	138
61	85
91	197
450	213
9	19
2	83
350	201
74	214
370	150
80	33
254	106
47	409
396	434
364	54
78	355
40	221
362	319
490	390
467	81
453	177
287	229
195	172
448	262
245	370
147	329
215	222
492	409
74	337
303	251
438	89
156	82
393	212
491	330
314	407
21	328
444	249
168	101
309	328
382	484
3	435
216	62
118	274
11	248
246	214
391	361
360	379
369	108
316	150
264	357
385	341
229	476
235	176
140	472
484	473
34	88
481	271
296	292
125	205
500	55
223	455
479	449
216	485
236	62
134	502
501	223
423	239
123	126
480	310
396	300
42	473
79	298
79	340
378	385
107	286
443	44
466	200
169	15
250	432
88	449
23	375
216	132
384	18
465	291
334	126
317	70
271	347
169	485
30	347
11	277
504	132
253	250
441	487
359	162
198	178
466	397
172	100
198	441
52	308
385	136
179	452
0	511
225	134
354	261
395	496
38	279
90	70
431	208
174	476
133	410
459	274
95	376
306	191
332	212
107	31
323	230
138	323
196	421
411	18
25	268
213	106
241	268
113	87
423	271
269	95
464	304
330	208
85	206
415	469
59	342
450	111
191	442
356	82
86	262
180	266
313	111
300	310
72	76
16	188
286	79
171	427
248	333
275	395
120	60
390	404
360	403
372	435
289	150
215	66
440	131
182	162
164	266
113	393
315	64
158	290
184	85
222	245
340	134
402	252
322	16
298	247
457	253
159	328
8	292
3	381
152	225
272	297
138	373
33	276
422	133
364	404
88	352
326	475
99	397
386	362
435	158
66	214
211	210
71	222
146	364
411	166
214	470
59	506
81	284
15	452
182	411
309	338
390	351
429	112
383	289
228	78
449	38
319	405

15
30 30
50 60
60 20
70 45
86 39
112 60
200 113
250 50
300 200
130 240
76 150
47 76
36 40
33 35
30 30
-1
12
50 60
60 20
70 45
100 70
125 90
200 113
250 140
180 170
105 140
79 140
60 85
50 60
-1
6
60 20
250 140
180 170
79 140
50 60
60 20

